trend,date,seasonal,observed
101597.96860462693,2010-01-01,-470.29364724680767,100908.65166666667
101598.03873654113,2010-01-02,-342.69565732641917,101575.08333333333
101598.10886845531,2010-01-03,-234.32550815945928,101927.82541666667
101598.1790003695,2010-01-04,-254.06558026342108,101473.01708333334
101598.2491322837,2010-01-05,-304.92396524791195,101655.20833333333
101598.31926419788,2010-01-06,-229.43504001549576,101861.23541666666
101598.38939611208,2010-01-07,-99.67373559740261,101717.99166666665
101598.45952802627,2010-01-08,-188.8330183178078,101359.4825
101598.52965994047,2010-01-09,-222.4545558897978,101621.56
101598.59979185465,2010-01-10,-232.66171855693278,101363.05041666667
101598.66992376884,2010-01-11,-327.97618792116685,100438.93708333334
101598.74005568304,2010-01-12,-275.68220646729617,101078.16583333333
101598.81018759722,2010-01-13,-268.2869959418908,101881.705
101598.88031951142,2010-01-14,-453.09464757401184,101848.27958333334
101598.95045142561,2010-01-15,-309.0981515653488,101179.40541666666
101599.02058333979,2010-01-16,-237.02937996686774,100874.13583333332
101599.09071525399,2010-01-17,-343.4127073029584,100920.71875
101599.16084716818,2010-01-18,-422.08740992442847,101250.24458333333
101599.23097908236,2010-01-19,-300.56983952458796,101206.43916666666
101599.30111099656,2010-01-20,-360.3387128081584,101097.41041666667
101599.37124291075,2010-01-21,-476.1430048512364,100805.39083333332
101599.44137482494,2010-01-22,-349.2651985305445,100598.15541666666
101599.51150673913,2010-01-23,-368.27856211091796,101575.51
101599.58163865333,2010-01-24,-582.7340775177801,101485.03083333334
101599.65177056752,2010-01-25,-592.7113219961818,101192.25458333333
101599.7219024817,2010-01-26,-170.8575475438181,101505.23666666668
101599.7920343959,2010-01-27,-284.1045281333355,101361.38458333333
101599.8621663101,2010-01-28,-440.37862725404085,101053.52625
101599.93229822427,2010-01-29,-471.09242766850497,101680.31624999999
101600.00243013847,2010-01-30,-423.0917924855616,101035.82541666667
101600.07256205266,2010-01-31,-483.9017360697436,101391.62
101600.14269396685,2010-02-01,-578.7335307764516,101550.38625
101600.21282588104,2010-02-02,-347.66226821526783,101263.59083333334
101600.28295779524,2010-02-03,-365.63183946307265,100926.81125000001
101600.35308970942,2010-02-04,-314.9008878798135,101080.21208333333
101600.42322162361,2010-02-05,11.223350328234325,101929.38875
101600.49335353781,2010-02-06,83.82697010022083,102118.36083333334
101600.56348545199,2010-02-07,-163.72031471303256,101974.5025
101600.63361736618,2010-02-08,-133.4717296632602,101955.39333333333
101600.70374928038,2010-02-09,-112.78340783648319,101847.31583333334
101600.77388119457,2010-02-10,-162.53514242143024,101546.76833333333
101600.84401310876,2010-02-11,-182.41300809463922,101034.53583333333
101600.91414502295,2010-02-12,-228.6970192206828,101276.05583333333
101600.98427693715,2010-02-13,-338.5518218231192,100993.1225
101601.05440885133,2010-02-14,-410.4141916820337,100944.31083333334
101601.12454076552,2010-02-15,-355.63391142679285,101619.89833333333
101601.19467267972,2010-02-16,-263.27819424232695,101611.0625
101601.2648045939,2010-02-17,-27.21626824888163,102084.95083333332
101601.3349365081,2010-02-18,-190.31047429500427,102186.00916666666
101601.40506842229,2010-02-19,-463.61593319501736,101659.19875
101601.47520033647,2010-02-20,-333.15865760111177,100959.69791666667
101601.54533225067,2010-02-21,-19.97790084282203,101138.79291666666
101601.61546416486,2010-02-22,129.8702693477328,101498.27416666667
101601.68559607906,2010-02-23,227.91922036020688,102215.20541666668
101601.75572799324,2010-02-24,48.82168916186968,102436.4325
101601.82585990743,2010-02-25,-82.33018326554166,102322.77
101601.89599182163,2010-02-26,-139.41448872186942,101707.91583333333
101601.96612373581,2010-02-27,-76.31814929614737,102069.16083333333
101602.03625565,2010-02-28,-6.1822323399902475,102319.62458333334
101602.1063875642,2010-03-01,-17.692876837417714,102289.89125
101602.17651947838,2010-03-02,94.80592995893181,102034.92625
101602.24665139258,2010-03-03,20.1880965345577,101445.00624999999
101602.31678330677,2010-03-04,-79.73082279162564,100828.41375
101602.38691522095,2010-03-05,-5.612719762414393,100624.47083333333
101602.45704713515,2010-03-06,80.19524666102603,101226.41291666667
101602.52717904934,2010-03-07,-72.70901903122416,100757.86375
101602.59731096352,2010-03-08,29.649888792510467,100740.45541666668
101602.66744287772,2010-03-09,105.38729138413682,102126.43166666666
101602.73757479191,2010-03-10,52.56274344303155,102030.8175
101602.80770670611,2010-03-11,-259.93051302166845,97036.22458333334
101602.87783862029,2010-03-12,-282.27699941407394,96931.45083333332
101602.94797053449,2010-03-13,103.98669684193727,102006.2075
101603.01810244868,2010-03-14,161.1799364769406,102498.445
101603.08823436286,2010-03-15,-17.86746173052971,102116.34375
101603.15836627706,2010-03-16,-43.24464009400385,102052.10041666667
101603.22849819125,2010-03-17,99.21440928223082,102308.12791666666
